good_id,coicop_code,category_name,product_name,unit_size,price_usd,source_sheet,coicop_division,coicop_group,quantity,gdp_contribution,_clone_count
1,01.1.1.1,Cereals,Brown Jasmine Rice,32 oz,3.76,Product Data,01,1.1,6038,22702.879999999997,0
2,01.1.1.1,Cereals,Buckwheat Groats,1 lb,2.97,Product Data,01,1.1,1712,5084.64,0
3,01.1.1.1,Cereals,Bulgur Wheat,12 oz,2.37,Product Data,01,1.1,1004,2379.48,0
4,01.1.1.1,Cereals,Long Grain White Rice,2 lb,2.78,Product Data,01,1.1,6874,19109.719999999998,0
5,01.1.1.1,Cereals,Organic Quinoa,1 lb,6.99,Product Data,01,1.1,3053,21340.47,0
6,01.1.1.1,Cereals,Pearl Barley,16 oz,1.89,Product Data,01,1.1,2806,5303.34,0
7,01.1.1.2,Flour of cereals,All-Purpose Wheat Flour,5 lb,4.24,Product Data,01,1.1,2628,11142.720000000001,0
8,01.1.1.2,Flour of cereals,Corn Flour (Masa Harina),4 lb,4.29,Product Data,01,1.1,1943,8335.47,0
9,01.1.1.2,Flour of cereals,Rye Flour,2 lb,4.92,Product Data,01,1.1,6833,33618.36,0
10,01.1.1.2,Flour of cereals,Self-Rising Flour,5 lb,5.05,Product Data,01,1.1,1639,8276.949999999999,0
11,01.1.1.2,Flour of cereals,Whole Wheat Flour,5 lb,5.49,Product Data,01,1.1,6343,34823.07,0
12,01.1.1.3,Bread and bakery products,Baguette,Each,2.52,Product Data,01,1.1,6867,17287.19509392471,1
13,01.1.1.3,Bread and bakery products,Corn Tortillas,30 ct,2.32,Product Data,01,1.1,5267,12200.94087929557,0
14,01.1.1.3,Bread and bakery products,English Muffins,6 ct,3.86,Product Data,01,1.1,1512,5836.32,0
15,01.1.1.3,Bread and bakery products,Multigrain Loaf,22 oz,4.41,Product Data,01,1.1,5637,24859.170000000002,1
16,01.1.1.3,Bread and bakery products,Pita Bread,6 ct,3.99,Product Data,01,1.1,4256,16981.440000000002,1
17,01.1.1.3,Bread and bakery products,Plain Bagels,6 ct,3.43,Product Data,01,1.1,1060,3635.8,1
18,01.1.1.3,Bread and bakery products,White Sliced Bread,20 oz,3.08,Product Data,01,1.1,1044,3215.52,0
19,01.1.1.3,Bread and bakery products,Whole Grain Sourdough,24 oz,5.79,Product Data,01,1.1,1567,9072.93,0
20,01.1.1.4,Breakfast cereals,Corn Flakes,18 oz,4.49,Product Data,01,1.1,2591,11633.59,2
21,01.1.1.4,Breakfast cereals,Granola with Nuts,12 oz,5.52,Product Data,01,1.1,2705,14931.599999999999,0
22,01.1.1.4,Breakfast cereals,Honey Nut Cheerios,15 oz,4.87,Product Data,01,1.1,4939,24052.93,0
23,01.1.1.4,Breakfast cereals,Muesli,16 oz,5.8,Product Data,01,1.1,5731,33224.04820426579,0
24,01.1.1.4,Breakfast cereals,Old Fashioned Rolled Oats,42 oz,5.87,Product Data,01,1.1,1017,5969.79,1
25,01.1.1.5,Pasta products,Couscous,10 oz,3.68,Product Data,01,1.1,5397,19860.96,0
26,01.1.1.5,Pasta products,Egg Noodles,12 oz,3.13,Product Data,01,1.1,2428,7599.639999999999,0
27,01.1.1.5,Pasta products,Fusilli,1 lb,1.71,Product Data,01,1.1,6665,11397.15,1
28,01.1.1.5,Pasta products,Penne Rigate,1 lb,1.51,Product Data,01,1.1,6123,9245.73,0
29,01.1.1.5,Pasta products,Spaghetti,1 lb,1.29,Product Data,01,1.1,6545,8443.050000000001,1
30,01.1.1.9,Other milled cereal,Malt Extract,16 oz,7.76,Product Data,01,1.1,5264,40848.64,0
31,01.1.1.9,Other milled cereal,Panko Breadcrumbs,8 oz,2.49,Product Data,01,1.1,4236,10547.640000000001,0
32,01.1.1.9,Other milled cereal,Popcorn Kernels,32 oz,3.69,Product Data,01,1.1,2605,9612.45,0
33,01.1.1.9,Other milled cereal,Rice Cakes,4.5 oz,3.21,Product Data,01,1.1,4479,14377.59,0
34,01.1.2.2,"Meat, fresh",Chicken Breasts (Boneless),1 lb,4.66,Product Data,01,1.1,5627,26221.82,0
35,01.1.2.2,"Meat, fresh",Duck Breast,1 lb,17.44,Product Data,01,1.1,3078,53680.32000000001,0
36,01.1.2.2,"Meat, fresh",Ground Beef (80/20),1 lb,3.79,Product Data,01,1.1,7430,28159.7,0
37,01.1.2.2,"Meat, fresh",Lamb Shouts/Chops,1 lb,9.57,Product Data,01,1.1,7921,75803.97,0
38,01.1.2.2,"Meat, fresh",Pork Loin Chops,1 lb,3.52,Product Data,01,1.1,853,3002.56,0
39,01.1.2.2,"Meat, fresh",Ribeye Steak (Choice),1 lb,14.15,Product Data,01,1.1,7016,99276.40000000001,0
40,01.1.2.2,"Meat, fresh",Whole Turkey,1 lb,2.49,Product Data,01,1.1,7401,18428.49,0
41,01.1.2.3,"Meat, dried/salted",Beef Jerky,3 oz,5.99,Product Data,01,1.1,2107,12620.93,0
