tick,year,cpi,inflation_yoy,gdp_nominal,gdp_real,consumption,investment,gov_spend,gini,households,price_01,price_02,price_03,price_04,price_05,price_06,price_07,price_08,price_09,price_10,price_11,price_12
1,0.083,1.00197,0.0,41070709.56,40990082.93,13208475.52,24566172.78,3296061.26,0.40184,1000,1.0019,1.002,1.002,1.002,1.002,1.0018,1.002,1.002,1.002,1.002,1.002,1.002
2,0.167,1.00394,0.0,41238626.68,41076872.9,13207328.89,24731940.47,3299357.32,0.40184,1000,1.0038,1.004,1.004,1.004,1.004,1.0036,1.004,1.004,1.004,1.004,1.004,1.004
3,0.25,1.00591,0.0,41407519.77,41164134.23,13206138.21,24898724.89,3302656.68,0.40184,1000,1.00571,1.00601,1.00601,1.00601,1.00601,1.00541,1.00601,1.00601,1.00601,1.00601,1.00601,1.00601
4,0.333,1.00789,0.0,41577393.7,41251867.63,13204903.3,25066531.07,3305959.34,0.40184,1000,1.00762,1.00802,1.00802,1.00802,1.00802,1.00722,1.00802,1.00802,1.00802,1.00802,1.00802,1.00802
5,0.417,1.00987,0.0,41748253.33,41340073.83,13203624.0,25235364.03,3309265.29,0.40184,1000,1.00954,1.01004,1.01004,1.01004,1.01004,1.00903,1.01004,1.01004,1.01004,1.01004,1.01004,1.01004
6,0.5,1.01186,0.0,41920103.52,41428753.52,13202300.13,25405228.82,3312574.56,0.40184,1000,1.01145,1.01206,1.01206,1.01206,1.01206,1.01085,1.01206,1.01206,1.01206,1.01206,1.01206,1.01206
7,0.583,1.01385,0.0,42092949.15,41517907.39,13200931.52,25576130.5,3315887.13,0.40184,1000,1.01338,1.01408,1.01408,1.01408,1.01408,1.01267,1.01408,1.01408,1.01408,1.01408,1.01408,1.01408
8,0.667,1.01584,0.0,42266795.12,41607536.12,13199517.99,25748074.11,3319203.02,0.40184,1000,1.0153,1.01611,1.01611,1.01611,1.01611,1.01449,1.01611,1.01611,1.01611,1.01611,1.01611,1.01611
9,0.75,1.01784,0.0,42441646.31,41697640.37,13198059.37,25921064.72,3322522.22,0.40184,1000,1.01723,1.01814,1.01814,1.01814,1.01814,1.01632,1.01814,1.01814,1.01814,1.01814,1.01814,1.01814
10,0.833,1.01984,0.0,42617507.63,41788220.8,13196555.48,26095107.41,3325844.75,0.40184,1000,1.01916,1.02018,1.02018,1.02018,1.02018,1.01815,1.02018,1.02018,1.02018,1.02018,1.02018,1.02018
11,0.917,1.02185,0.0,42794383.98,41879278.05,13195006.14,26270207.25,3329170.59,0.40184,1000,1.0211,1.02222,1.02222,1.02222,1.02222,1.01998,1.02222,1.02222,1.02222,1.02222,1.02222,1.02222
12,1.0,1.02386,0.0,42972280.28,41970812.75,13193411.19,26446369.34,3332499.76,0.40184,1000,1.02304,1.02427,1.02427,1.02427,1.02427,1.02182,1.02427,1.02427,1.02427,1.02427,1.02427,1.02427
13,1.083,1.04617,4.411,43424266.43,41508007.61,12970690.04,27116935.31,3336641.07,0.40203,1010,1.07217,1.03908,1.02069,1.00221,1.01869,1.0285,1.03605,1.03982,1.01031,1.05109,1.23158,1.02735
14,1.167,1.04822,4.411,43606440.74,41600320.3,12968325.71,27298137.32,3339977.72,0.40203,1010,1.07421,1.04116,1.02273,1.00422,1.02073,1.03035,1.03812,1.0419,1.01233,1.05319,1.23404,1.0294
15,1.25,1.05029,4.411,43789660.44,41693105.79,12965913.17,27480429.57,3343317.69,0.40203,1010,1.07625,1.04325,1.02477,1.00623,1.02277,1.0322,1.0402,1.04398,1.01436,1.05529,1.23651,1.03146
16,1.333,1.05235,4.411,43973930.44,41786364.6,12963452.26,27663817.18,3346661.01,0.40203,1010,1.0783,1.04533,1.02682,1.00824,1.02482,1.03406,1.04228,1.04607,1.01638,1.0574,1.23898,1.03352
17,1.417,1.05442,4.411,44159255.69,41880097.22,12960942.77,27848305.25,3350007.67,0.40203,1010,1.08034,1.04742,1.02888,1.01026,1.02687,1.03592,1.04436,1.04816,1.01842,1.05952,1.24146,1.03559
18,1.5,1.05649,4.411,44345641.13,41974304.16,12958384.53,28033898.92,3353357.68,0.40203,1010,1.0824,1.04952,1.03093,1.01228,1.02892,1.03779,1.04645,1.05026,1.02045,1.06164,1.24394,1.03766
19,1.583,1.05857,4.411,44533091.68,42068985.86,12955777.35,28220603.29,3356711.04,0.40203,1010,1.08445,1.05162,1.033,1.0143,1.03098,1.03965,1.04855,1.05236,1.02249,1.06376,1.24643,1.03974
20,1.667,1.06066,4.411,44721612.29,42164142.8,12953121.03,28408423.5,3360067.75,0.40203,1010,1.08651,1.05372,1.03506,1.01633,1.03304,1.04153,1.05064,1.05446,1.02454,1.06589,1.24892,1.04182
21,1.75,1.06274,4.411,44911207.9,42259775.41,12950415.4,28597364.68,3363427.82,0.40203,1010,1.08858,1.05583,1.03713,1.01836,1.03511,1.0434,1.05274,1.05657,1.02659,1.06802,1.25142,1.0439
22,1.833,1.06483,4.411,45101883.47,42355884.11,12947660.26,28787431.96,3366791.24,0.40203,1010,1.09065,1.05794,1.03921,1.0204,1.03718,1.04528,1.05485,1.05869,1.02864,1.07016,1.25392,1.04599
23,1.917,1.06693,4.411,45293643.94,42452469.32,12944855.43,28978630.47,3370158.04,0.40203,1010,1.09272,1.06005,1.04129,1.02244,1.03925,1.04716,1.05696,1.0608,1.0307,1.0723,1.25643,1.04808
24,2.0,1.06902,4.411,45486494.26,42549531.42,12942000.71,29170965.35,3373528.19,0.40203,1010,1.0948,1.06217,1.04337,1.02448,1.04133,1.04904,1.05907,1.06292,1.03276,1.07444,1.25894,1.05018
25,2.083,1.06492,1.793,46480554.81,43646839.68,13224267.95,29835974.68,3420312.18,0.40174,1020,1.12358,1.06675,1.0294,1.02461,1.04523,1.0301,1.06119,1.06356,1.00192,1.07116,1.18705,1.05616
26,2.167,1.06702,1.793,46679599.56,43747712.64,13221623.16,30034243.91,3423732.49,0.40174,1020,1.12571,1.06888,1.03146,1.02666,1.04732,1.03195,1.06332,1.06569,1.00392,1.0733,1.18943,1.05828
27,2.25,1.06912,1.793,46879777.41,43849081.12,13218928.31,30233692.87,3427156.23,0.40174,1020,1.12785,1.07102,1.03352,1.02872,1.04942,1.03381,1.06544,1.06782,1.00593,1.07545,1.19181,1.06039
28,2.333,1.07122,1.793,47081093.49,43950945.52,13216183.2,30434326.91,3430583.38,0.40174,1020,1.13,1.07316,1.03559,1.03077,1.05152,1.03567,1.06757,1.06995,1.00794,1.0776,1.19419,1.06251
29,2.417,1.07333,1.793,47283552.99,44053306.24,13213387.63,30636151.4,3434013.96,0.40174,1020,1.13214,1.07531,1.03766,1.03283,1.05362,1.03753,1.06971,1.07209,1.00995,1.07976,1.19658,1.06464
30,2.5,1.07544,1.793,47487161.07,44156163.65,13210541.41,30839171.68,3437447.98,0.40174,1020,1.13429,1.07746,1.03973,1.0349,1.05573,1.0394,1.07185,1.07424,1.01197,1.08191,1.19897,1.06677
31,2.583,1.07755,1.793,47691922.9,44259518.09,13207644.35,31043393.12,3440885.43,0.40174,1020,1.13645,1.07961,1.04181,1.03697,1.05784,1.04127,1.07399,1.07639,1.014,1.08408,1.20137,1.0689
32,2.667,1.07967,1.793,47897843.64,44363369.91,13204696.26,31248821.06,3444326.31,0.40174,1020,1.13861,1.08177,1.0439,1.03904,1.05996,1.04315,1.07614,1.07854,1.01603,1.08625,1.20377,1.07104
33,2.75,1.08179,1.793,48104928.46,44467719.42,13201696.94,31455460.88,3447770.64,0.40174,1020,1.14077,1.08394,1.04598,1.04112,1.06208,1.04502,1.07829,1.0807,1.01806,1.08842,1.20618,1.07318
34,2.833,1.08392,1.793,48313182.52,44572566.91,13198646.19,31663317.92,3451218.41,0.40174,1020,1.14294,1.08611,1.04807,1.0432,1.0642,1.04691,1.08045,1.08286,1.02009,1.0906,1.20859,1.07533
35,2.917,1.08605,1.793,48522611.0,44677912.67,13195543.82,31872397.55,3454669.63,0.40174,1020,1.14511,1.08828,1.05017,1.04529,1.06633,1.04879,1.08261,1.08502,1.02214,1.09278,1.21101,1.07748
36,3.0,1.08819,1.793,48733219.05,44783756.96,13192389.63,32082705.12,3458124.3,0.40174,1020,1.14729,1.09045,1.05227,1.04738,1.06846,1.05068,1.08478,1.08719,1.02418,1.09496,1.21343,1.07963
37,3.083,1.07992,1.408,51564150.2,47748279.65,14044563.88,33877092.32,3642494.0,0.40142,1030,1.19475,1.11499,1.0322,1.02833,1.06253,1.05257,1.06754,1.03567,0.99714,1.09722,1.15104,1.08371
38,3.167,1.08204,1.408,51789463.3,47862834.19,14041625.23,34101701.58,3646136.49,0.40142,1030,1.19702,1.11722,1.03426,1.03038,1.06465,1.05446,1.06967,1.03774,0.99914,1.09941,1.15335,1.08588
39,3.25,1.08417,1.408,52016056.66,47977936.15,14038632.89,34327641.14,3649782.63,0.40142,1030,1.19929,1.11945,1.03633,1.03244,1.06678,1.05636,1.07181,1.03982,1.00113,1.10161,1.15565,1.08805
40,3.333,1.0863,1.408,52243936.03,48093585.91,14035586.67,34554916.95,3653432.41,0.40142,1030,1.20157,1.12169,1.0384,1.03451,1.06891,1.05826,1.07396,1.0419,1.00314,1.10382,1.15796,1.09023
41,3.417,1.08843,1.407,52473107.15,48209783.84,14032486.35,34783534.96,3657085.85,0.40142,1030,1.20385,1.12393,1.04048,1.03658,1.07105,1.06017,1.0761,1.04398,1.00514,1.10602,1.16028,1.09241
42,3.5,1.09057,1.407,52703575.78,48326530.29,14029331.73,35013501.12,3660742.93,0.40142,1030,1.20614,1.12618,1.04256,1.03865,1.07319,1.06208,1.07826,1.04607,1.00715,1.10824,1.1626,1.0946
43,3.583,1.09272,1.407,52935347.66,48443825.59,14026122.59,35244821.39,3664403.67,0.40142,1030,1.20843,1.12843,1.04464,1.04073,1.07534,1.06399,1.08041,1.04816,1.00917,1.11045,1.16492,1.09678
44,3.667,1.09486,1.407,53168428.55,48561670.04,14022858.75,35477501.73,3668068.08,0.40142,1030,1.21073,1.13069,1.04673,1.04281,1.07749,1.0659,1.08257,1.05026,1.01119,1.11267,1.16725,1.09898
45,3.75,1.09702,1.407,53402824.19,48680063.92,14019539.97,35711548.08,3671736.15,0.40142,1030,1.21303,1.13295,1.04883,1.0449,1.07965,1.06782,1.08474,1.05236,1.01321,1.1149,1.16959,1.10118
46,3.833,1.09917,1.407,53638540.33,48799007.5,14016166.06,35946966.39,3675407.88,0.40142,1030,1.21533,1.13522,1.05092,1.04699,1.0818,1.06974,1.08691,1.05446,1.01523,1.11713,1.17193,1.10338
47,3.917,1.10133,1.407,53875582.7,48918501.02,14012736.8,36183762.61,3679083.29,0.40142,1030,1.21764,1.13749,1.05303,1.04908,1.08397,1.07167,1.08908,1.05657,1.01727,1.11936,1.17427,1.10559
48,4.0,1.1035,1.407,54113957.05,49038544.7,14009251.99,36421942.69,3682762.37,0.40142,1030,1.21995,1.13976,1.05513,1.05118,1.08614,1.0736,1.09126,1.05869,1.0193,1.1216,1.17662,1.1078
49,4.083,1.15252,6.723,60705758.41,52672188.05,15186701.43,41481054.78,4038002.2,0.40165,1040,1.21277,1.13013,1.053,1.26394,1.09697,1.16934,1.08851,1.07059,1.00854,1.06276,1.21631,1.0506
50,4.167,1.15479,6.723,60979487.06,52805881.57,15182300.64,41755146.21,4042040.2,0.40165,1040,1.21508,1.13239,1.05511,1.26646,1.09917,1.17144,1.09069,1.07273,1.01056,1.06488,1.21874,1.05271
51,4.25,1.15706,6.723,61254769.03,52940189.96,15177836.93,42030849.86,4046082.24,0.40165,1040,1.21739,1.13465,1.05722,1.269,1.10136,1.17355,1.09287,1.07487,1.01258,1.06701,1.22118,1.05481
52,4.333,1.15933,6.723,61531611.16,53075113.57,15173310.05,42308172.79,4050128.33,0.40165,1040,1.2197,1.13692,1.05933,1.27153,1.10357,1.17566,1.09506,1.07702,1.0146,1.06915,1.22362,1.05692
53,4.417,1.16161,6.723,61810020.28,53210652.69,15168719.77,42587122.06,4054178.45,0.40165,1040,1.22202,1.13919,1.06145,1.27408,1.10577,1.17778,1.09725,1.07918,1.01663,1.07129,1.22607,1.05903
54,4.5,1.16389,6.723,62090003.21,53346807.6,15164065.85,42867704.73,4058232.63,0.40165,1040,1.22434,1.14147,1.06357,1.27663,1.10799,1.1799,1.09944,1.08133,1.01867,1.07343,1.22852,1.06115
55,4.583,1.16618,6.723,62371566.78,53483578.57,15159348.05,43149927.87,4062290.87,0.40165,1040,1.22667,1.14376,1.0657,1.27918,1.1102,1.18202,1.10164,1.0835,1.0207,1.07557,1.23098,1.06327
56,4.667,1.16847,6.723,62654717.8,53620965.82,15154566.13,43433798.52,4066353.16,0.40165,1040,1.229,1.14604,1.06783,1.28174,1.11242,1.18415,1.10384,1.08566,1.02275,1.07773,1.23344,1.0654
57,4.75,1.17077,6.723,62939463.08,53758969.55,15149719.84,43719323.73,4070419.51,0.40165,1040,1.23133,1.14834,1.06997,1.2843,1.11465,1.18628,1.10605,1.08784,1.02479,1.07988,1.23591,1.06753
58,4.833,1.17307,6.723,63225809.43,53897589.95,15144808.95,44006510.55,4074489.93,0.40165,1040,1.23367,1.15063,1.07211,1.28687,1.11688,1.18842,1.10826,1.09001,1.02684,1.08204,1.23838,1.06967
59,4.917,1.17538,6.723,63513763.65,54036827.18,15139833.21,44295366.02,4078564.42,0.40165,1040,1.23601,1.15293,1.07425,1.28944,1.11911,1.19056,1.11048,1.09219,1.02889,1.0842,1.24085,1.07181
60,5.0,1.17769,6.723,63803332.53,54176681.34,15134792.38,44585897.17,4082642.98,0.40165,1040,1.23836,1.15524,1.0764,1.29202,1.12135,1.1927,1.1127,1.09438,1.03095,1.08637,1.24334,1.07395
61,5.083,1.19203,3.428,71759830.68,60199563.03,16760857.32,50485009.22,4513964.14,0.40135,1050,1.23268,1.15452,1.06747,1.28582,1.12342,1.43382,1.11496,1.07748,1.0065,1.08843,1.2145,1.07614
62,5.167,1.19437,3.428,72090442.34,60358432.57,16755293.56,50816670.68,4518478.11,0.40135,1050,1.23502,1.15683,1.06961,1.28839,1.12567,1.4364,1.11719,1.07964,1.00851,1.09061,1.21693,1.07829
63,5.25,1.19672,3.428,72422914.38,60518002.88,16749657.56,51150260.24,4522996.59,0.40135,1050,1.23737,1.15914,1.07175,1.29097,1.12792,1.43898,1.11942,1.0818,1.01053,1.09279,1.21936,1.08045
64,5.333,1.19907,3.427,72757254.67,60678274.1,16743949.05,51485786.04,4527519.58,0.40135,1050,1.23972,1.16146,1.07389,1.29355,1.13018,1.44157,1.12166,1.08396,1.01255,1.09497,1.2218,1.08261
65,5.417,1.20142,3.427,73093471.09,60839246.38,16738167.75,51823256.24,4532047.1,0.40135,1050,1.24207,1.16378,1.07604,1.29614,1.13244,1.44417,1.12391,1.08613,1.01457,1.09716,1.22424,1.08478
66,5.5,1.20378,3.427,73431571.49,61000919.83,16732313.4,52162678.94,4536579.15,0.40135,1050,1.24443,1.16611,1.07819,1.29873,1.1347,1.44677,1.12615,1.0883,1.0166,1.09936,1.22669,1.08695
67,5.583,1.20614,3.427,73771563.72,61163294.51,16726385.72,52504062.27,4541115.73,0.40135,1050,1.2468,1.16844,1.08035,1.30133,1.13697,1.44937,1.12841,1.09048,1.01863,1.10156,1.22915,1.08912
68,5.667,1.20851,3.426,74113455.62,61326370.46,16720384.43,52847414.35,4545656.84,0.40135,1050,1.24917,1.17078,1.08251,1.30393,1.13925,1.45198,1.13066,1.09266,1.02067,1.10376,1.2316,1.0913
69,5.75,1.21088,3.426,74457255.02,61490147.71,16714309.26,53192743.26,4550202.5,0.40135,1050,1.25154,1.17312,1.08467,1.30654,1.14153,1.45459,1.13292,1.09484,1.02271,1.10597,1.23407,1.09348
70,5.833,1.21326,3.426,74802969.72,61654626.22,16708159.93,53540057.09,4554752.7,0.40135,1050,1.25392,1.17547,1.08684,1.30915,1.14381,1.45721,1.13519,1.09703,1.02476,1.10818,1.23653,1.09567
71,5.917,1.21564,3.425,75150607.54,61819805.93,16701936.17,53889363.92,4559307.46,0.40135,1050,1.2563,1.17782,1.08902,1.31177,1.1461,1.45983,1.13746,1.09923,1.02681,1.1104,1.23901,1.09786
72,6.0,1.21803,3.425,75500176.24,61985686.76,16695637.69,54240671.79,4563866.76,0.40135,1050,1.25869,1.18017,1.0912,1.3144,1.14839,1.46246,1.13973,1.10143,1.02886,1.11262,1.24149,1.10005
73,6.083,1.20088,0.743,87033470.63,72474515.77,19234706.72,62572213.21,5226550.71,0.4011,1060,1.25672,1.18044,1.08203,1.29168,1.12595,1.35575,1.14201,1.10348,1.03069,1.1151,1.2428,1.04926
74,6.167,1.20324,0.743,87439914.28,72670242.73,19227724.84,62980412.17,5231777.26,0.4011,1060,1.25911,1.1828,1.08419,1.29426,1.1282,1.35819,1.1443,1.10569,1.03275,1.11733,1.24529,1.05136
75,6.25,1.20561,0.743,87848615.75,72866796.37,19220657.68,63390949.03,5237009.04,0.4011,1060,1.2615,1.18517,1.08636,1.29685,1.13046,1.36064,1.14659,1.1079,1.03482,1.11956,1.24778,1.05346
76,6.333,1.20797,0.743,88259584.13,73064176.54,19213504.9,63803833.18,5242246.05,0.4011,1060,1.26389,1.18754,1.08853,1.29944,1.13272,1.36309,1.14888,1.11011,1.03689,1.1218,1.25027,1.05557
77,6.417,1.21035,0.743,88672828.48,73262383.03,19206266.19,64219074.0,5247488.29,0.4011,1060,1.2663,1.18992,1.09071,1.30204,1.13499,1.36554,1.15118,1.11233,1.03896,1.12405,1.25277,1.05768
78,6.5,1.21272,0.743,89088357.83,73461415.62,19198941.23,64636680.82,5252735.78,0.4011,1060,1.2687,1.1923,1.09289,1.30465,1.13726,1.368,1.15348,1.11456,1.04104,1.12629,1.25528,1.0598
79,6.583,1.2151,0.743,89506181.2,73661274.03,19191529.69,65056662.99,5257988.52,0.4011,1060,1.27111,1.19468,1.09508,1.30726,1.13953,1.37046,1.15579,1.11679,1.04312,1.12855,1.25779,1.06191
80,6.667,1.21749,0.743,89926307.57,73861957.93,19184031.25,65479029.82,5263246.51,0.4011,1060,1.27353,1.19707,1.09727,1.30987,1.14181,1.37293,1.1581,1.11902,1.04521,1.1308,1.2603,1.06404
81,6.75,1.21988,0.743,90348745.92,74063466.96,19176445.59,65903790.58,5268509.75,0.4011,1060,1.27595,1.19946,1.09946,1.31249,1.14409,1.3754,1.16042,1.12126,1.0473,1.13307,1.26283,1.06617
82,6.833,1.22228,0.744,90773505.19,74265800.71,19168772.37,66330954.55,5273778.26,0.4011,1060,1.27837,1.20186,1.10166,1.31511,1.14638,1.37788,1.16274,1.1235,1.04939,1.13533,1.26535,1.0683
83,6.917,1.22468,0.744,91200594.29,74468958.72,19161011.28,66760530.96,5279052.04,0.4011,1060,1.2808,1.20427,1.10386,1.31774,1.14867,1.38036,1.16506,1.12575,1.05149,1.1376,1.26788,1.07044
84,7.0,1.22708,0.744,91630022.11,74672940.51,19153161.99,67192529.03,5284331.09,0.4011,1060,1.28323,1.20667,1.10607,1.32038,1.15097,1.38284,1.16739,1.128,1.0536,1.13988,1.27042,1.07258
85,7.083,1.24544,3.71,112307002.01,90174539.64,23195908.82,82681819.23,6429273.96,0.40437,1071,1.27616,1.20413,1.10607,1.41181,1.13288,1.43777,1.15348,1.16038,1.01883,1.14209,1.27296,1.08134
86,7.167,1.24789,3.71,112841148.12,90425829.54,23186302.07,83219142.82,6435703.23,0.40437,1071,1.27858,1.20654,1.10828,1.41463,1.13515,1.44036,1.15579,1.16271,1.02087,1.14438,1.2755,1.0835
87,7.25,1.25034,3.71,113378245.88,90678148.19,23176587.74,83759519.21,6442138.94,0.40437,1071,1.28101,1.20895,1.1105,1.41746,1.13742,1.44295,1.1581,1.16503,1.02291,1.14666,1.27806,1.08566
88,7.333,1.25279,3.71,113918306.83,90931495.16,23166765.41,84302960.34,6448581.08,0.40437,1071,1.28344,1.21137,1.11272,1.42029,1.1397,1.44555,1.16042,1.16736,1.02495,1.14896,1.28061,1.08784
89,7.417,1.25525,3.71,114461342.46,91185869.97,23156834.7,84849478.1,6455029.66,0.40437,1071,1.28588,1.21379,1.11494,1.42313,1.14198,1.44815,1.16274,1.1697,1.027,1.15126,1.28317,1.09001
90,7.5,1.25772,3.71,115007364.24,91441272.08,23146795.21,85399084.35,6461484.69,0.40437,1071,1.28833,1.21622,1.11717,1.42598,1.14426,1.45076,1.16507,1.17203,1.02906,1.15356,1.28574,1.09219
91,7.583,1.26019,3.71,115556383.59,91697700.9,23136646.51,85951790.9,6467946.17,0.40437,1071,1.29077,1.21865,1.11941,1.42883,1.14655,1.45337,1.1674,1.17438,1.03111,1.15587,1.28831,1.09438
92,7.667,1.26266,3.71,116108411.91,91955155.77,23126388.22,86507609.57,6474414.12,0.40437,1071,1.29323,1.22109,1.12165,1.43169,1.14884,1.45598,1.16973,1.17673,1.03318,1.15818,1.29089,1.09656
